x_value,total_1,total_2
0,1000,1000
1,994,997
2,993,992
3,990,998
4,995,1000
5,996,1001
6,996,1003
7,999,999
8,1000,1001
9,1008,996
10,1007,1001
11,1011,1004
12,1009,999
13,1016,1002
14,1023,998
15,1029,1004
16,1035,1000
17,1039,1000
18,1038,1005
19,1039,1004
20,1047,1000
21,1041,996
22,1049,994
23,1051,996
24,1045,995
25,1047,994
26,1041,993
27,1049,996
28,1051,1000
29,1052,1000
30,1054,1001
31,1055,1000
32,1059,996
33,1057,991
34,1057,993
35,1051,988
36,1047,993
37,1054,999
38,1061,997
39,1056,1003
40,1058,1004
41,1065,1009
42,1063,1015
43,1065,1017
44,1064,1022
45,1069,1017
46,1077,1013
47,1072,1016
48,1068,1013
49,1069,1012
50,1072,1011
51,1078,1007
52,1085,1013
53,1080,1018
54,1078,1022
55,1083,1018
56,1081,1015
57,1082,1012
58,1080,1010
59,1075,1014
60,1082,1010
61,1081,1008
62,1076,1005
63,1076,1007
64,1073,1010
65,1071,1009
66,1071,1004
67,1076,1009
68,1079,1004
69,1078,1006
70,1075,1009
71,1076,1009
72,1074,1004
73,1069,1004
74,1067,1009
75,1068,1012
76,1065,1008
77,1064,1004
78,1072,999
79,1067,995
80,1071,995
81,1079,998
82,1087,999
83,1084,1002
84,1091,1000
85,1093,1001
86,1094,1006
87,1091,1006
88,1094,1008
89,1102,1006
90,1096,1001
91,1094,1001
92,1089,997
93,1084,999
94,1092,998
95,1092,993
96,1095,993
97,1097,988
98,1104,986
99,1100,989
100,1107,985
101,1109,981
102,1107,980
103,1111,979
104,1113,984
105,1109,986
106,1113,985
107,1112,981
108,1108,987
109,1102,989
110,1098,988
111,1102,991
112,1098,989
113,1106,987
114,1109,989
115,1103,984
116,1101,988
117,1104,985
118,1105,991
119,1108,993
120,1109,990
121,1103,991
122,1097,989
123,1097,992
124,1095,998
125,1095,997
126,1096,1001
127,1102,997
128,1099,995
129,1103,996
130,1098,1000
131,1103,1004
132,1101,1001
133,1105,1004
